content,description,title
Global academic science and tech startup accelerator program Creative Destruction Lab CDL is adding a dedicated stream to its existing areas of focus which include AI health sciences space quantum computing blockchain energy and oceans The new addit 2394 chars,"Global academic science and tech startup accelerator program Creative Destruction Lab (CDL) is adding a dedicated stream to its existing areas of focus, which include AI, health sciences, space, quantum computing, blockchain, energy, and oceans. The new addit…",Creative Destruction Lab launches a new startup program dedicated to COVID19 response
MENAFN The Conversation Dr Rick leBrasseur is an Associate Professor of Landscape Architecture at Dalhousie University within the Department of Plant Food and Environmental SciencesA licensed landscape architect environmental psychologist researche 3095 chars,"(MENAFN - The Conversation) Dr. Rick leBrasseur is an Associate Professor of Landscape Architecture at Dalhousie University within the Department of Plant, Food and Environmental Sciences.
A licensed landscape architect, environmental psychologist, researcher…",Richard leBrasseur MENAFNCOM
The Nova Scotia government is making sure tenants impacted by the COVID19 outbreak cant be evicted while also committing 1 million to food banks across the provinceThe announcements were made a press briefing in Halifax on Thursday which was held virtu 4043 chars,"N.S. bans evictions while committing funds to Feed Nova Scotia, income assistance Global News One person in N.S. hospitalized as a result of COVID-19 CTV News NS, NB pharmacies restrict medication fills to avoid shortages during COVID-19 Global News N.S. boos…",NS bans evictions while committing funds to Feed Nova Scotia income assistance Global News
We estimated 10 or 11 per cent of the population would panicbuy and theyre doing that right now but itll soon pass said Charlebois senior director of the Agrifood Analytics Lab at Dalhousie University in Halifax and known as The Food ProfessorThe food 1196 chars,Viral virus video highlights COVID-19 panic shopping in Windsor Windsor Star COVID-19 panic buying hits grocery stores across Canada CTV News Grocery stores hit with Coronavirus COVID-19 shopping surge: grocery store chain owner Scott Karns PennLive.com Coron…,Viral virus video highlights COVID19 panic shopping in Windsor Windsor Star
TORONTO NEWS 1130 Grocery store shelves across the country are being emptied by those concerned about the spread of COVID19 with toilet paper and canned goods being some of the hottest itemsAccording to a food expert there is no reason to panic as C 1041 chars,Experts: No reason to panic as shelves seem bare amid virus concerns CityNews Vancouver Coronavirus Panic In Montreal Leaves Grocery Store Shelves Empty & Here's Metro's Solution MTL Blog Capturing the coronavirus mood through one Toronto grocery store The Gl…,Experts No reason to panic as shelves seem bare amid virus concerns CityNews Vancouver
Nova Scotia has announced a pair of funds that are meant to help workers and small businesses in the provincePremier Stephen McNeil announced the two 20million funds during a provincial update on ThursdayThe first is known as the Worker Emergency Brid 3597 chars,"Nova Scotia extends coronavirus state of emergency, announces new support funds Global News 'This does make me nervous': N.S. reports biggest one-day spike of COVID-19 cases CTV News Atlantic Canadians call for rent freeze during COVID-19 pandemic Global News…",Nova Scotia extends coronavirus state of emergency announces new support funds Global News
A bit of geeky jargon has become a rallying cry in the fight against the novel coronavirus as people around the world try to flatten the curve by doing the little things necessary to stop the spread of the virus that causes COVID19The term comes from p 7722 chars,"Flatten the curve: How one chart became a rallying cry against coronavirus Global News 'Flattening the curve' on COVID-19 pandemic numbers, explained CTV News Here's Why Everybody's Talking About 'Flattening The Curve' HuffPost Coronavirus outbreak: Social di…",Flatten the curve How one chart became a rallying cry against coronavirus Global News
Global academic science and tech startup accelerator program Creative Destruction Lab CDL is adding a dedicated stream to its existing areas of focus which include AI health sciences space quantum computing blockchain energy and oceans The new addit 2394 chars,"Global academic science and tech startup accelerator program Creative Destruction Lab (CDL) is adding a dedicated stream to its existing areas of focus, which include AI, health sciences, space, quantum computing, blockchain, energy, and oceans. The new addit…",Creative Destruction Lab launches a new startup program dedicated to COVID19 response
An international study recently published in the journal Nature led by KAUST Professors Carlos Duarte and Susana Agust lays out the essential roadmap of actions required for the planets marine life to recover to full abundance by 2050The project brings 4918 chars,"An international study recently published in the journal Nature, led by KAUST Professors Carlos Duarte and Susana Agustí, lays out the essential roadmap of actions required for the planet's marine life to recover to full abundance by 2050.",Landmark study concludes marine life can be rebuilt by 2050
Ellen Page is now calling the shots from behind the cameraThe XMen star makes her directorial debut with Theres Something in the Water the new Netflix documentary she codirected with Ian Daniel about the impact of environmental racism on marginaliz 2634 chars,"Ellen Page is now calling the shots from behind the camera. The “X-Men” star makes her directorial debut with “There’s Something in the Water,” the new Netflix documentary she co-directed with Ian Daniel about the impact of environmental racism on marginalize…",Listen Ellen Page on Directing Netflix Doc Justin Trudeau and Donald Trumps Environmental Records
