Term,Canada
Canada appeared in all documents,Total Words (m),Frequency (f)
article-4,91,1
article-14,72,3
article-18,100,2
article-19,80,1
article-23,88,3
article-32,86,2
article-40,82,2
article-44,91,2
article-57,92,2
article-60,74,3
article-64,74,2
article-73,88,3
article-75,91,4
article-76,74,2
article-82,72,1
article-84,68,2
article-87,82,3
article-89,96,3
article-90,63,1
article-92,89,1
article-96,71,2
article-97,85,3
article-100,75,1
article-105,88,4
article-107,98,1
article-112,91,1
article-120,87,1
article-130,84,3
article-140,72,3
article-141,97,2
article-145,59,2
article-151,82,1
article-155,77,2
article-157,66,1
article-161,62,3
article-163,85,1
article-169,96,3
article-170,93,2
article-175,64,1
article-182,95,1
article-185,70,3
article-186,63,1
article-188,98,2
article-195,96,4
article-197,110,1
article-201,99,5
article-202,99,2
article-203,77,3
article-204,60,3
article-205,111,3
article-206,99,3
article-207,108,1
article-208,62,2
article-209,61,2
article-210,74,2
article-211,93,3
article-213,95,2
article-215,98,2
article-216,92,2
article-217,92,2
article-218,103,7
article-219,92,6
article-220,98,4
article-222,106,1
article-223,60,2
article-224,97,2
article-225,97,1
article-226,95,6
article-227,95,5
article-228,107,7
article-229,102,1
article-230,102,2
article-232,99,7
article-233,98,6
article-234,96,3
article-235,99,6
article-236,88,5
article-237,95,4
article-238,99,6
article-240,104,2
article-241,91,3
article-245,46,3
article-246,88,2
article-247,106,5
article-248,91,4
article-249,97,3
article-250,67,2
article-251,94,2
article-252,91,1
article-253,92,3
article-254,60,1
article-255,78,1
article-256,106,4
article-257,96,5
article-258,95,2
article-259,45,2
article-260,95,1
article-261,86,3
article-262,50,1
article-263,96,2
article-264,94,1
article-265,93,4
article-266,102,2
article-267,74,3
article-268,71,2
article-269,72,3
article-270,84,3
article-271,87,2
article-272,94,2
article-273,80,3
article-274,86,3
article-275,88,3
article-276,94,4
article-277,87,4
article-278,85,2
article-279,44,2
article-280,56,2
article-281,82,1
article-282,103,3
article-284,98,3
article-285,85,4
article-286,93,1
article-287,94,3
article-288,88,2
article-289,102,3
article-290,102,1
article-291,101,3
article-292,100,1
article-293,86,1
article-294,85,3
article-295,92,2
article-296,94,4
article-297,96,1
article-298,93,4
article-299,92,4
article-300,98,1
article-349,94,1
article-401,98,1
article-402,99,1
article-403,82,1
article-404,92,3
article-405,93,4
article-406,82,2
article-407,111,1
article-408,103,1
article-409,95,2
article-411,90,1
article-412,96,1
article-413,80,1
article-416,102,1
article-419,103,1
article-420,91,1
article-421,98,1
article-429,121,3
article-435,95,2
article-438,103,1
article-443,74,3
article-450,79,1
article-451,72,1
article-452,83,2
article-454,92,2
article-455,98,2
article-457,56,2
article-463,65,1
article-466,79,1
article-467,78,2
article-474,98,2
article-477,97,1
article-478,95,1
article-479,84,2
article-480,104,1
article-481,99,1
article-482,70,1
article-483,95,1
article-485,92,1
article-486,80,1
article-488,81,2
article-492,88,3
article-494,69,3
article-495,98,2
article-497,88,4
article-499,66,1
article-500,68,2
