Tweet,Message/tweets,match,polarity
1,RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul,,Neutral
2,Canada making power plays,,Neutral
3,RT Now you can order things from the Trump Store and they will be shipped to you if you live in these countriesIndiaGermanyIrelandScotlandCanadaEnglandThisopens up a lot of opportunities for corruption,corruption,Negative
4,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly screening flights from China and now stuff is being cancelled,properly,Positive
5,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba instead of sending them medicine and medical supplies think about this while youre in the city buying out hand sani and toilet paper at costco,epidemic,Negative
6,Canada making power plays,,Neutral
7,cfao2020 PattyHajdu CPHOCanada GovCanHealth Right Photoops will always trump public well being in the political world,trump,Positive
8,RT Were hustlers Amid coronavirus fears this couple has made more than 100000 reselling Lysol wipes,fears,Negative
9,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
10,RT the Castro regime is pushing prodictatorship group BuenaFe in Canada Cubans in Canada will protest enmasse EmbacubaCanada JustinTrudeau CanadianPM CancelenBuenaFe,protest,Negative
11,RT Dont worry Canada were a legitimate and separate country not a colony of colonies where every politician military officer judge and police officer pledges allegiance to a foreign dotard queen instead of you our country and constitution CanadianIdyll cdnpoli nspoli,worry,Negative
12,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
13,Top Saudi Intelligence Official Chased to Canada by Crown Prince MBS,,Neutral
14,RT Money isnt real lol,,Neutral
15,RT The Patty Hajdu Economy Amid coronavirus fears this couple has made more than 100000 reselling Lysol wipes,fears,Negative
16,RT We have a comprehensive funded COVID19 plan in Canada There are nations who cant even have proper burials for their dead The comments amp complaints to news about PMJT amp Sophie are ignorant disrespectful and make Canadians looks like spoiled brats Do better cdnpoli,comprehensive,Positive
17,RT All parkrun events in Canada have been suspended with immediate effect due to the ongoing COVID19 Coronavirus situationAt this stage we have cancelled events up to the end of MarchFollow this link for Please share loveparkrun,,Neutral
18,Due to the University of Marylands having to extend its spring break and move to virtual classes for at least two,break,Negative
19,RT In 1665 the University of Cambridge temporarily closed due to the bubonic plague Isaac Newton had to work from ho,plague,Negative
20,Ive been told the same thing,,Neutral
